,Sl.No,Lane,VehicleType,Entry,Exit,TravelTime,Speed(kmph),Time Interval,CumulativeEntryFlow,CumulativeExitFlow,EntryFlow/Interval,ExitFlow/Interval,Travel Time in one minute,Travel Time in one minute(interval wise),Avg Travel Time in one minute,SMS,Exit Flow Per Hour,Small Car,Big Car,Two Wheeler,LCV,Bus,Single Axle,Multi Axle,Small Car interval wise,Big Car interval wise,Two Wheeler interval wise,LCV interval wise,Bus interval wise,Single Axle interval wise,Multi Axle interval wise,Cumulative Speed of Small Car,Cumulative Speed of Big Car,Cumulative Speed of Two Wheeler,Cumulative Speed of LCV,Cumulative Speed of Bus,Cumulative Speed of Single Axle,Cumulative Speed of Multi Axle,Cumulative Speed of Small Car interval wise,Cumulative Speed of Big Car interval wise,Cumulative Speed of Two Wheeler interval wise,Cumulative Speed of LCV interval wise,Cumulative Speed of Bus interval wise,Cumulative Speed of Single Axle interval wise,Cumulative Speed of Multi Axle interval wise,Avg Speed of Small Car,Avg Speed of Big Car,Avg Speed of Two Wheeler,Avg Speed of LCV,Avg Speed of Bus,Avg Speed of Single Axle,Avg Speed of Multi Axle,Small Car PCU,Big Car PCU,Two Wheeler PCU,LCV PCU,Bus PCU,Single Axle PCU,Multi Axle PCU,Final PCU per 5min
3363,3364,1,1,18997.8,19005.0,7.200000000000728,30.999999999996867,1009200,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
3364,3365,1,1,19001.64,19006.44,4.799999999999272,46.50000000000705,1009500,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
3365,3366,2,3,19009.96,19021.8,11.840000000000146,18.85135135135112,1009800,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
3366,3367,2,3,19010.84,19021.8,10.959999999999127,20.364963503651257,1010100,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
3367,3368,2,2,19019.6,19024.68,5.080000000001746,43.93700787400064,1010400,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
3368,3369,1,3,19028.52,19034.12,5.599999999998545,39.857142857153214,1010700,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
3369,3370,2,3,19034.12,19043.88,9.760000000002037,22.86885245901162,1011000,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
3370,3371,1,3,19032.36,19040.04,7.680000000000291,29.0624999999989,1011300,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
3371,3372,1,3,19035.24,19042.72,7.479999999999563,29.83957219251511,1011600,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
3372,3373,1,1,19036.2,19041.56,5.360000000000582,41.641791044771594,1011900,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
3373,3374,2,3,19039.84,19046.76,6.919999999998254,32.254335260123746,1012200,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
3374,3375,2,3,19041.96,19048.68,6.720000000001164,33.21428571427996,1012500,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
3375,3376,1,3,19038.12,19043.76,5.639999999999418,39.57446808511047,1012800,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
3376,3377,1,1,19039.08,19045.04,5.959999999999127,37.44966442953569,1013100,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
3377,3378,1,3,19038.12,19043.88,5.760000000002037,38.749999999986294,1013400,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
3378,3379,1,1,19039.08,19045.84,6.759999999998399,33.01775147929776,1013700,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
3379,3380,2,3,19054.16,19059.24,5.080000000001746,43.93700787400064,1014000,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
3380,3381,2,3,19054.8,19060.2,5.400000000001455,41.333333333322194,1014300,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
3381,3382,2,3,19055.48,19062.12,6.639999999999418,33.614457831328245,1014600,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
3382,3383,2,3,19056.6,19064.04,7.440000000002328,29.99999999999061,1014900,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
3383,3384,1,5,19057.32,19068.84,11.520000000000437,19.374999999999265,1015200,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
3384,3385,1,1,19059.24,19071.92,12.679999999996653,17.602523659310638,1015500,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
3385,3386,1,3,19060.2,19067.88,7.680000000000291,29.0624999999989,1015800,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
3386,3387,1,1,19063.08,19077.48,14.399999999997817,15.500000000002348,1016100,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
3387,3388,2,3,19066.72,19074.6,7.879999999997381,28.324873096456113,1016400,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
3388,3389,1,1,19063.08,19074.6,11.519999999996799,19.375000000005382,1016700,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
3389,3390,1,3,19066.92,19074.24,7.320000000003347,30.49180327867458,1017000,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
3390,3391,1,1,19065.96,19077.48,11.520000000000437,19.374999999999265,1017300,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
3391,3392,2,5,19073.32,19079.4,6.080000000001746,36.71052631577893,1017600,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
3392,3393,1,3,19070.76,19077.48,6.720000000001164,33.21428571427996,1017900,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
3393,3394,1,3,19073.64,19080.08,6.440000000002328,34.65838509315517,1018200,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
3394,3395,1,2,19075.56,19081.92,6.359999999996944,35.09433962265837,1018500,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
3395,3396,1,2,19086.12,19090.44,4.319999999999709,51.666666666670146,1018800,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
3396,3397,1,2,19098.04,19104.08,6.040000000000873,36.95364238410062,1019100,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
3397,3398,1,1,19104.08,19109.72,5.639999999999418,39.57446808511047,1019400,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
3398,3399,1,3,19101.48,19107.88,6.400000000001455,34.87499999999207,1019700,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
3399,3400,2,2,19104.36,19109.16,4.799999999999272,46.50000000000705,1020000,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
3400,3401,1,6,19117.8,19123.64,5.8400000000001455,38.21917808219083,1020300,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
3401,3402,1,3,19119.72,19125.96,6.239999999997963,35.76923076924245,1020600,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
3402,3403,1,1,19130.28,19135.88,5.600000000002183,39.85714285712732,1020900,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
3403,3404,1,1,19139.88,19143.72,3.8400000000001455,58.1249999999978,1021200,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
3404,3405,1,3,19146.6,19156.2,9.600000000002183,23.249999999994714,1021500,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
3405,3406,1,2,19149.48,19158.12,8.639999999999418,25.833333333335073,1021800,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
3406,3407,1,2,19152.36,19160.04,7.680000000000291,29.0624999999989,1022100,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
3407,3408,1,1,19154.28,19161.0,6.720000000001164,33.21428571427996,1022400,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
3408,3409,1,1,19161.0,19165.92,4.919999999998254,45.36585365855269,1022700,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
3409,3410,2,2,19168.96,19174.44,5.479999999999563,40.729927007302514,1023000,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
3410,3411,1,1,19173.6,19178.76,5.1599999999998545,43.25581395348959,1023300,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
3411,3412,1,2,19175.4,19180.72,5.319999999999709,41.9548872180474,1023600,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
3412,3413,1,1,19177.32,19188.52,11.200000000000728,19.928571428570134,1023900,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
3413,3414,1,4,19181.2,19192.68,11.479999999999563,19.442508710802134,1024200,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
3414,3415,1,3,19196.0,19201.32,5.319999999999709,41.9548872180474,1024500,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
3415,3416,2,3,19214.16,19219.56,5.400000000001455,41.333333333322194,1024800,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
3416,3417,1,2,19215.8,19221.08,5.280000000002474,42.27272727270746,1025100,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
3417,3418,1,1,19221.64,19227.4,5.760000000002037,38.749999999986294,1025400,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
3418,3419,1,1,19224.36,19229.6,5.239999999997963,42.5954198473448,1025700,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
3419,3420,2,5,19242.8,19248.36,5.56000000000131,40.143884892076876,1026000,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
3420,3421,2,1,19244.52,19250.28,5.759999999998399,38.750000000010765,1026300,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
3421,3422,2,3,19246.4,19252.2,5.799999999999272,38.48275862069448,1026600,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
3422,3423,1,3,19245.68,19250.76,5.079999999998108,43.937007874032105,1026900,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
3423,3424,1,2,19248.36,19254.12,5.759999999998399,38.750000000010765,1027200,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
3424,3425,2,1,19250.28,19257.96,7.680000000000291,29.0624999999989,1027500,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
3425,3426,1,7,19259.88,19272.58,12.700000000000728,17.57480314960529,1027800,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
3426,3427,1,3,19261.2,19267.56,6.360000000000582,35.094339622638294,1028100,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
3427,3428,1,3,19262.32,19268.52,6.200000000000728,35.99999999999577,1028400,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
3428,3429,1,3,19263.48,19270.44,6.959999999999127,32.0689655172454,1028700,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
3429,3430,1,1,19266.24,19271.4,5.1599999999998545,43.25581395348959,1029000,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
3430,3431,2,1,19270.96,19276.2,5.240000000001601,42.59541984731523,1029300,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
3431,3432,2,1,19274.52,19280.04,5.520000000000437,40.43478260869245,1029600,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
3432,3433,2,2,19277.2,19283.88,6.680000000000291,33.41317365269315,1029900,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
3433,3434,1,3,19282.92,19289.64,6.720000000001164,33.21428571427996,1030200,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
3434,3435,2,2,19289.64,19295.4,5.760000000002037,38.749999999986294,1030500,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
3435,3436,2,1,19294.16,19300.2,6.040000000000873,36.95364238410062,1030800,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
3436,3437,2,3,19297.16,19303.08,5.920000000001892,37.70270270269065,1031100,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
