Sl.No,Lane,VehicleType,Entry,Exit
2949,1,2,16662.12,16668.2
2950,1,3,16667.16,16673
2951,1,3,16668.6,16673.52
2952,1,2,16672.68,16680.36
2953,1,3,16675.56,16682.28
2954,2,1,16679.68,16685.16
2955,1,2,16688.04,16695.84
2956,1,1,16692.72,16698.44
2957,1,3,16703.4,16709.44
2958,2,3,16707.68,16712.04
2959,1,2,16713.96,16720.68
2960,2,1,16717.6,16722.6
2961,1,3,16718.8,16722.32
2962,1,3,16718.84,16724.08
2963,1,1,16720.68,16727.08
2964,1,3,16722.68,16729.48
2965,1,3,16725.24,16729.48
2966,2,1,16727.76,16735.08
2967,1,3,16724.52,16731
2968,1,3,16725.48,16731.96
2969,1,6,16755.24,16760.04
2970,1,3,16756.4,16761.96
2971,2,3,16757.6,16762.92
2972,1,2,16774.44,16784.2
2973,2,3,16787.88,16796.52
2974,1,3,16811.96,16817.72
2975,1,1,16813.76,16818.96
2976,1,1,16818.6,16823.4
2977,2,1,16818.84,16825.32
2978,2,2,16819.96,16825.32
2979,2,7,16824.36,16833
2980,2,4,16826.44,16834.92
2981,1,1,16826.48,16831.6
2982,2,3,16829.16,16836.84
2983,2,3,16830.24,16836.84
2984,2,1,16833.16,16840.68
2985,2,2,16835.4,16842.6
2986,2,2,16837.48,16845.48
2987,1,1,16840,16848.56
2988,2,2,16841.64,16847.4
2989,1,1,16843.12,16850.4
2990,1,1,16861.8,16867.8
2991,1,2,16870.44,16877.6
2992,2,2,16872.4,16878.12
2993,2,3,16881,16887.72
2994,1,4,16884,16890.6
2995,1,3,16894.44,16899.4
2996,2,3,16900.2,16905.96
2997,2,4,16924.88,16932.84
2998,1,2,16935.72,16943.36
2999,2,2,16939.56,16945.36
3000,1,1,16939.48,16946.28
3001,1,2,16941.04,16947.32
3002,2,1,16946.28,16952.04
3003,1,1,16952.04,16963.4
3004,1,1,16964.52,16969.04
3005,2,4,16972.36,16981.8
3006,2,1,16973.88,16979.32
3007,1,1,16982.6,16988.48
3008,1,1,16984.68,16990.52
3009,1,2,16986.6,16992.6
3010,1,1,16994.28,16999.6
3011,2,3,17000.56,17006.76
3012,2,2,17006.76,17018.28
3013,2,1,17053.16,17059.8
3014,1,1,17055.72,17061.72
3015,1,4,17069.16,17075.68
3016,1,4,17080.68,17094.44
3017,1,1,17096.04,17101.28
3018,1,1,17098.92,17104.68
3019,2,3,17110.08,17117.16
3020,1,3,17112.88,17118.6
3021,1,1,17126.76,17132.84
3022,1,1,17129.56,17134.84
3023,1,1,17133.48,17139.56
3024,1,1,17135.4,17140.68
3025,2,1,17138.12,17149.8
3026,1,1,17140.88,17147.16
3027,1,1,17150.04,17155.88
3028,1,3,17155.56,17162.12
3029,2,2,17161.32,17166.12
3030,1,3,17164.4,17172.64
3031,1,1,17169.96,17176.68
3032,2,1,17170.8,17175.72
3033,2,1,17172,17178.6
3034,1,1,17185.4,17191.36
3035,1,2,17190.12,17195
3036,1,3,17195,17201.64
3037,1,1,17206.44,17213.8
3038,1,2,17208.36,17215.2
3039,2,3,17210.28,17216.04
3040,2,3,17213.16,17218.92
3041,1,2,17219.88,17224.68
3042,1,3,17231.4,17236.88
3043,1,1,17233.32,17237.68
3044,1,2,17247.04,17255.56
3045,2,1,17248.08,17254.44
3046,2,1,17252.52,17259.24
3047,2,2,17255.64,17262.2
3048,2,1,17257.68,17264.04
3049,1,2,17259.24,17264.16
3050,2,2,17259.52,17266.92
3051,1,1,17265.12,17270.96
3052,1,1,17268.84,17273.92
3053,1,3,17280.36,17287.92
3054,1,3,17281.32,17289.16
3055,1,3,17304.36,17310.24
3056,2,1,17309.68,17315.88
3057,1,7,17328.36,17340.69
3058,1,2,17330.24,17337.96
3059,1,3,17332.2,17340.92
3060,2,3,17332.2,17337.96
3061,1,3,17334.12,17341.24
3062,1,2,17335.48,17343.6
3063,2,6,17337,17344.68
3064,1,3,17340.08,17347.56
3065,1,1,17341.8,17352.4
3066,1,1,17343.72,17355.84
3067,1,7,17350.44,17362.14
3068,1,2,17354.28,17361.96
3069,1,2,17356.2,17363.88
3070,1,2,17360.04,17365.8
3071,1,3,17364.84,17371.28
3072,1,2,17372.52,17379.08
3073,2,3,17378.28,17386.92
3074,2,1,17387.08,17393.64
3075,1,3,17388.84,17395.56
3076,1,2,17400.36,17408.24
3077,1,3,17404.2,17409.16
3078,1,1,17406.12,17411.28
3079,1,2,17418.64,17424.8
3080,1,1,17428.2,17433.32
3081,1,3,17433.96,17440.32
3082,1,2,17436.84,17441.61
3083,1,3,17437.8,17442.76
3084,2,3,17438.92,17445.48
3085,1,1,17452.28,17457
3086,1,3,17466.48,17471.4
3087,1,1,17475.24,17480.04
3088,1,1,17495.4,17501.32
3089,2,2,17526.84,17530.92
3090,2,1,17528.04,17532.84
3091,2,3,17533,17538.6
3092,2,1,17528.04,17533.8
3093,1,1,17533.8,17538.92
3094,2,1,17535.72,17541.48
3095,1,2,17539.56,17547.92
3096,2,1,17540.64,17546.28
3097,2,3,17545.04,17553
3098,1,3,17544.52,17552.52
3099,2,3,17548.4,17554.92
3100,1,3,17551.08,17560.72
3101,2,3,17562.32,17568.36
3102,1,2,17591.4,17595.8
3103,1,2,17595.24,17599.44
3104,2,1,17596.68,17601.96
3105,2,3,17599.36,17604.84
3106,2,3,17601,17606.76
3107,2,1,17602.44,17608.68
3108,2,1,17603.88,17611.56
3109,2,3,17606.48,17613.48
3110,2,3,17607.92,17615.4
3111,1,2,17635.56,17642.76
3112,1,1,17640.36,17646.64
3113,2,2,17649,17654.76
3114,1,3,17651.88,17658.6
3115,1,1,17656.68,17661.16
3116,2,3,17651.88,17659.56
3117,1,1,17663.4,17669.16
3118,2,3,17662.92,17669.16
3119,1,7,17670.12,17681.57
3120,1,3,17670.12,17675.16
3121,1,2,17675.88,17682.24
3122,1,3,17675.88,17683.64
3123,1,3,17677.8,17688.6
3124,1,1,17681.64,17688.24
3125,1,1,17683.44,17691.32
3126,1,3,17683.56,17689.32
3127,1,2,17686.44,17693.24
3128,1,3,17689.32,17696.4
3129,2,3,17698.52,17706.6
3130,2,3,17700.56,17708.52
3131,2,1,17715.24,17721
3132,1,3,17715.24,17725.84
3133,1,3,17723.88,17729.64
3134,2,3,17731.4,17736.36
3135,2,2,17732.36,17737.32
3136,1,1,17733.48,17739.24
3137,1,1,17737.32,17742.12
3138,2,3,17736.96,17742.12
3139,2,3,17742.8,17749.8
3140,1,1,17748.16,17755.08
3141,1,3,17749.8,17756.64
3142,1,1,17774.76,17782.04
3143,1,1,17776.68,17783.8
3144,2,6,17778.36,17784.36
3145,1,1,17779.28,17785.76
3146,2,1,17780.52,17789.16
3147,1,3,17782.52,17788.8
3148,1,4,17788,17792.52
3149,1,3,17790.68,17796.48
3150,2,2,17795.04,17800.68
3151,1,1,17804.52,17809.08
3152,2,3,17818.2,17824.68
3153,1,1,17840.04,17845.52
3154,1,3,17841,17846.76
3155,1,1,17843.88,17850.56
3156,1,3,17844.84,17849.64
3157,1,3,17849.52,17854.04
3158,1,3,17856.16,17862.64
3159,2,2,17856.36,17861.16
3160,1,3,17857.32,17866.32
3161,2,1,17856.84,17863.08
3162,2,1,17862.12,17868.84
3163,1,3,17868.48,17875.56
3164,1,3,17868.48,17875.92
3165,1,3,17888.04,17895.64
3166,1,2,17889.96,17895.8
3167,2,1,17937.56,17942.76
3168,1,3,17941.44,17944.88
3169,1,2,17946.32,17950.72
3170,1,1,17949.48,17956.72
3171,2,1,17953.92,17958.12
3172,1,3,17960.72,17968.04
3173,1,1,17969.4,17974.12
3174,1,1,17979.92,17987.36
3175,1,1,17981.72,17985.96
3176,1,1,17985.96,17990.76
3177,1,3,17987.88,17993.32
3178,1,1,17990.76,17996.52
3179,1,1,17996.52,18003.08
3180,1,4,17996.52,18010.65
3181,2,7,17996.88,18006.12
3182,1,7,18013.8,18027.36
3183,2,1,18013.8,18020.52
3184,1,3,18014.52,18020.72
3185,2,1,18015.56,18022.44
3186,2,1,18046.64,18054.12
3187,1,4,18047.4,18058.96
3188,1,1,18051.24,18063.88
3189,1,2,18054.08,18063.72
3190,2,2,18056.08,18061.8
3191,2,3,18060.04,18065.64
3192,2,3,18062.52,18070.44
3193,2,1,18063.88,18069.48
3194,2,2,18065.64,18072.36
3195,2,1,18068.04,18074.28
3196,1,1,18081,18087.88
3197,1,2,18087.72,18093.8
3198,1,3,18090.24,18095.04
3199,2,1,18092.52,18099.24
3200,2,1,18098.44,18105
3201,1,1,18132.84,18137.68
3202,1,1,18136.68,18143.24
3203,1,3,18140.52,18147.28
3204,1,1,18143.4,18150.12
3205,1,3,18152.64,18158.2
3206,1,2,18154.56,18158.68
3207,1,1,18158.64,18164.2
3208,1,2,18160.68,18166.32
3209,1,1,18170.28,18177.8
3210,2,3,18188.32,18194.28
3211,2,3,18190.44,18197.16
3212,2,3,18191.4,18198.12
3213,2,3,18192.6,18200.04
3214,2,2,18209.64,18215.4
3215,2,1,18216.68,18222.12
3216,2,1,18230.28,18235.56
3217,1,4,18235.56,18242.28
3218,1,1,18238.44,18245.16
3219,2,3,18239,18244.2
3220,1,1,18248.84,18254.68
3221,2,1,18262.44,18269.16
3222,2,3,18277.8,18283.56
3223,2,3,18279.72,18285.48
3224,2,3,18280.52,18286.44
3225,1,6,18302.76,18311.72
3226,1,2,18304.68,18310.24
3227,1,2,18310.44,18316.08
3228,1,2,18311.4,18318.28
3229,2,4,18313.32,18321
3230,1,3,18317.2,18324.72
3231,2,1,18334.4,18341.16
3232,1,1,18340.28,18346.12
3233,2,1,18345.8,18350.76
